Results
Data from Matlab    Data from Simulation
0025D               0025D               TRUE      
00272               00272               TRUE      
0026B               0026B               TRUE      
00296               00296               TRUE      
0029F               0029F               TRUE      
0020A               0020A               TRUE      
0031D               0031D               TRUE      
001F0               001F0               TRUE      
0025D               0025D               TRUE      
002BD               002BD               TRUE      
0024F               0024F               TRUE      
002C7               002C7               TRUE      
001F2               001F2               TRUE      
002C0               002C0               TRUE      
0029F               0029F               TRUE      
002AC               002AC               TRUE      
002AD               002AD               TRUE      
002B7               002B7               TRUE      
002B4               002B4               TRUE      
00283               00283               TRUE      
00297               00297               TRUE      
0026E               0026E               TRUE      
00240               00240               TRUE      
002D8               002D8               TRUE      
00226               00226               TRUE      
0026E               0026E               TRUE      
002F3               002F3               TRUE      
001C9               001C9               TRUE      
0029A               0029A               TRUE      
00273               00273               TRUE      
00280               00280               TRUE      
0027D               0027D               TRUE      
002B2               002B2               TRUE      
002DB               002DB               TRUE      
0026B               0026B               TRUE      
002B4               002B4               TRUE      
0029A               0029A               TRUE      
00220               00220               TRUE      
0031F               0031F               TRUE      
0020A               0020A               TRUE      
00298               00298               TRUE      
002AD               002AD               TRUE      
0023E               0023E               TRUE      
00334               00334               TRUE      
00261               00261               TRUE      
00292               00292               TRUE      
00284               00284               TRUE      
002A8               002A8               TRUE      
002E9               002E9               TRUE      
002E9               002E9               TRUE      
00306               00306               TRUE      
002D0               002D0               TRUE      
0032E               0032E               TRUE      
00306               00306               TRUE      
00255               00255               TRUE      
002F4               002F4               TRUE      
0025B               0025B               TRUE      
0027A               0027A               TRUE      
00270               00270               TRUE      
00232               00232               TRUE      
00268               00268               TRUE      
002C5               002C5               TRUE      
002EB               002EB               TRUE      
0030D               0030D               TRUE      
00291               00291               TRUE      
0024A               0024A               TRUE      
00224               00224               TRUE      
002D1               002D1               TRUE      
00272               00272               TRUE      
00209               00209               TRUE      
002D0               002D0               TRUE      
001C8               001C8               TRUE      
0027E               0027E               TRUE      
00291               00291               TRUE      
0029A               0029A               TRUE      
0032D               0032D               TRUE      
00222               00222               TRUE      
002E5               002E5               TRUE      
00272               00272               TRUE      
002D0               002D0               TRUE      
002A6               002A6               TRUE      
00288               00288               TRUE      
00259               00259               TRUE      
0028F               0028F               TRUE      
002C5               002C5               TRUE      
0024F               0024F               TRUE      
002C7               002C7               TRUE      
00231               00231               TRUE      
001CE               001CE               TRUE      
002B0               002B0               TRUE      
002CB               002CB               TRUE      
00200               00200               TRUE      
00287               00287               TRUE      
00261               00261               TRUE      
00239               00239               TRUE      
002A6               002A6               TRUE      
00249               00249               TRUE      
002BC               002BC               TRUE      
00208               00208               TRUE      
002B5               002B5               TRUE      
002AF               002AF               TRUE      
0020C               0020C               TRUE      
002A5               002A5               TRUE      
001C4               001C4               TRUE      
00292               00292               TRUE      
00278               00278               TRUE      
00220               00220               TRUE      
00320               00320               TRUE      
0025C               0025C               TRUE      
00260               00260               TRUE      
00237               00237               TRUE      
0027D               0027D               TRUE      
00283               00283               TRUE      
00299               00299               TRUE      
0026B               0026B               TRUE      
0025D               0025D               TRUE      
002BF               002BF               TRUE      
00281               00281               TRUE      
00255               00255               TRUE      
00255               00255               TRUE      
00253               00253               TRUE      
0024C               0024C               TRUE      
002B6               002B6               TRUE      
001D4               001D4               TRUE      
00288               00288               TRUE      
0022C               0022C               TRUE      
0023E               0023E               TRUE      
002A5               002A5               TRUE      
00269               00269               TRUE      
0026E               0026E               TRUE      
00226               00226               TRUE      
0029C               0029C               TRUE      
002C2               002C2               TRUE      
001FE               001FE               TRUE      
002DB               002DB               TRUE      
001C6               001C6               TRUE      
0028E               0028E               TRUE      
002E9               002E9               TRUE      
00266               00266               TRUE      
00318               00318               TRUE      
0025D               0025D               TRUE      
0026C               0026C               TRUE      
0025C               0025C               TRUE      
002DB               002DB               TRUE      
002D3               002D3               TRUE      
00265               00265               TRUE      
0028D               0028D               TRUE      
002A9               002A9               TRUE      
00272               00272               TRUE      
00273               00273               TRUE      
0024A               0024A               TRUE      
002B2               002B2               TRUE      
001E9               001E9               TRUE      
00230               00230               TRUE      
0029E               0029E               TRUE      
0020E               0020E               TRUE      
002BE               002BE               TRUE      
00279               00279               TRUE      
0028C               0028C               TRUE      
00288               00288               TRUE      
0034F               0034F               TRUE      
002B8               002B8               TRUE      
00295               00295               TRUE      
0030F               0030F               TRUE      
0031D               0031D               TRUE      
00286               00286               TRUE      
00330               00330               TRUE      
00229               00229               TRUE      
0029E               0029E               TRUE      
00355               00355               TRUE      
00270               00270               TRUE      
0035B               0035B               TRUE      
00253               00253               TRUE      
002FD               002FD               TRUE      
00273               00273               TRUE      
002E4               002E4               TRUE      
00338               00338               TRUE      
002E5               002E5               TRUE      
00309               00309               TRUE      
00317               00317               TRUE      
00314               00314               TRUE      
002BD               002BD               TRUE      
0029F               0029F               TRUE      
002F6               002F6               TRUE      
00274               00274               TRUE      
002B2               002B2               TRUE      
002A8               002A8               TRUE      
00294               00294               TRUE      
00339               00339               TRUE      
002CE               002CE               TRUE      
002CD               002CD               TRUE      
00327               00327               TRUE      
0025F               0025F               TRUE      
00279               00279               TRUE      
00236               00236               TRUE      
002AA               002AA               TRUE      
002D6               002D6               TRUE      
0020B               0020B               TRUE      
002F3               002F3               TRUE      
00224               00224               TRUE      
0028E               0028E               TRUE      
00286               00286               TRUE      
00248               00248               TRUE      
00322               00322               TRUE      
0021A               0021A               TRUE      
00250               00250               TRUE      
00275               00275               TRUE      
002E7               002E7               TRUE      
002BF               002BF               TRUE      
002A9               002A9               TRUE      
002F7               002F7               TRUE      
00294               00294               TRUE      
0021D               0021D               TRUE      
0029E               0029E               TRUE      
00246               00246               TRUE      
0029E               0029E               TRUE      
00255               00255               TRUE      
00217               00217               TRUE      
002A5               002A5               TRUE      
001F6               001F6               TRUE      
0027F               0027F               TRUE      
002CB               002CB               TRUE      
00252               00252               TRUE      
00272               00272               TRUE      
002EC               002EC               TRUE      
00300               00300               TRUE      
002C4               002C4               TRUE      
0034A               0034A               TRUE      
0039D               0039D               TRUE      
00268               00268               TRUE      
003BB               003BB               TRUE      
00224               00224               TRUE      
00305               00305               TRUE      
00370               00370               TRUE      
002A9               002A9               TRUE      
0037F               0037F               TRUE      
00272               00272               TRUE      
0032D               0032D               TRUE      
00309               00309               TRUE      
00303               00303               TRUE      
00371               00371               TRUE      
00352               00352               TRUE      
00391               00391               TRUE      
00354               00354               TRUE      
002FC               002FC               TRUE      
002FE               002FE               TRUE      
002B0               002B0               TRUE      
00364               00364               TRUE      
00275               00275               TRUE      
0035B               0035B               TRUE      
00350               00350               TRUE      
002B6               002B6               TRUE      
00331               00331               TRUE      
002E5               002E5               TRUE      
002FD               002FD               TRUE      
0030D               0030D               TRUE      
002BE               002BE               TRUE      
002DD               002DD               TRUE      
0022F               0022F               TRUE      
0028E               0028E               TRUE      
002B1               002B1               TRUE      
001EE               001EE               TRUE      
002FE               002FE               TRUE      
001E3               001E3               TRUE      
0026D               0026D               TRUE      
002C7               002C7               TRUE      
